betId,marketId,matchName,playerName,side,odds,stake,liability,action,reason,placedAt,settledAt,pnl,dryRun,estimatedWinPnL,estimatedLossPnL
DRY-1774756886427-7152,1.255941246,Rio Noguchi v Yasutaka Uchiyama,Rio Noguchi,BACK,2.44,2,2,BET_PLACED,"Strategy 2a: set 1 complete 5-7 (fav @ 1.96 pre-match), back playerA @ 2.44",2026-03-29T04:01:26.427Z,,,true,2.88,-2
DRY-1774756886427-7152,1.255941246,Rio Noguchi v Yasutaka Uchiyama,Rio Noguchi,BACK,2.44,2,2,DRY_WIN,Match finished — won,2026-03-29T04:01:26.427Z,2026-03-29T05:54:02.129Z,2.88,true,2.88,-2
DRY-1774781920069-8724,1.255958790,Pablo Carreno Busta v Pablo Llamas Ruiz,Pablo Llamas Ruiz,LAY,1.3,2,0.6,BET_PLACED,"Strategy 1a: set 1 complete 4-6 (fav @ 2.12 pre-match), back playerB @ 1.3",2026-03-29T10:58:40.070Z,,,true,2,-0.6
DRY-1774781925061-7249,1.255982103,Pierre-Hugues Herbert v Lloyd Harris,Pierre-Hugues Herbert,BACK,2.42,2,2,BET_PLACED,"Strategy 2a: set 1 complete 4-6 (fav @ 2.02 pre-match), back playerA @ 2.42",2026-03-29T10:58:45.062Z,,,true,2.84,-2
DRY-1774781920069-8724,1.255958790,Pablo Carreno Busta v Pablo Llamas Ruiz,Pablo Llamas Ruiz,LAY,1.3,2,0.6,DRY_LOSS,Match finished — lost,2026-03-29T10:58:40.070Z,2026-03-29T11:13:55.218Z,-0.6,true,2,-0.6
DRY-1774781925061-7249,1.255982103,Pierre-Hugues Herbert v Lloyd Harris,Pierre-Hugues Herbert,BACK,2.42,2,2,DRY_LOSS,Match finished — lost,2026-03-29T10:58:45.062Z,2026-03-29T11:19:00.246Z,-2,true,2.84,-2
DRY-1776256685205-7641,1.256785346,Alexander Blockx v Ben Shelton,Ben Shelton,LAY,1.22,2,0.44,BET_PLACED,"Strategy 1a: set 1 complete 4-6 (fav @ 5.60 pre-match), back playerB @ 1.22",2026-04-15T12:38:05.206Z,,,true,2,-0.44
DRY-1776258410602-6323,1.256695974,Tatjana Maria v Elsa Jacquemot,Tatjana Maria,LAY,1.97,2,1.94,BET_PLACED,"Strategy 4a: set 1 complete 6-4 (fav @ 1.41 pre-match), back playerA @ 1.97",2026-04-15T13:06:50.603Z,,,true,2,-1.94
DRY-1776258410602-6323,1.256695974,Tatjana Maria v Elsa Jacquemot,Tatjana Maria,LAY,1.97,2,1.94,DRY_LOSS,Match finished — lost,2026-04-15T13:06:50.603Z,2026-04-15T13:29:55.745Z,-1.94,true,2,-1.94
DRY-1776260520923-1887,1.256695974,Tatjana Maria v Elsa Jacquemot,Tatjana Maria,LAY,1.21,2,0.42,BET_PLACED,"Strategy 1a: set 1 complete 6-4 (fav @ 1.41 pre-match), back playerA @ 1.21",2026-04-15T13:42:00.924Z,,,true,2,-0.42
DRY-1776268696909-3763,1.256647479,Jelena Ostapenko v Mirra Andreeva,Mirra Andreeva,BACK,2.04,2,2,BET_PLACED,"Strategy 4a: set 1 complete 7-5 (fav @ 1.30 pre-match), back playerB @ 2.04",2026-04-15T15:58:16.910Z,,,true,2.08,-2
DRY-1776268696909-3763,1.256647479,Jelena Ostapenko v Mirra Andreeva,Mirra Andreeva,BACK,2.04,2,2,TRADE_OUT,Set 2 result hedge,2026-04-15T15:58:16.910Z,2026-04-15T16:35:22.148Z,0.81,true,2.08,-2
DRY-1776272462305-6075,1.256647479,Jelena Ostapenko v Mirra Andreeva,Jelena Ostapenko,LAY,1.48,2,0.96,BET_PLACED,"Strategy 1a: set 1 complete 7-5 (fav @ 1.30 pre-match), back playerA @ 1.48",2026-04-15T17:01:02.305Z,,,true,2,-0.96
DRY-1776284948701-823,1.256819614,Katie Boulter v Jaqueline Cristian,Katie Boulter,LAY,1.26,2,0.52,BET_PLACED,"Strategy 1a: set 1 complete 7-6 (fav @ 2.04 pre-match), back playerA @ 1.26",2026-04-15T20:29:08.702Z,,,true,2,-0.52
DRY-1776284948701-823,1.256819614,Katie Boulter v Jaqueline Cristian,Katie Boulter,LAY,1.26,2,0.52,TRADE_OUT,Set 2 result hedge,2026-04-15T20:29:08.702Z,2026-04-15T21:42:34.145Z,0,true,2,-0.52
DRY-1776339394437-7579,1.256809537,Daniel Altmaier v Alex Molcan,Daniel Altmaier,BACK,2.96,2,2,BET_PLACED,"Strategy 2a: set 1 complete 4-6 (fav @ 1.60 pre-match), back playerA @ 2.96",2026-04-16T11:36:34.438Z,,,true,3.92,-2
DRY-1776352785846-2730,1.256856054,Denis Shapovalov v Fabian Marozsan,Denis Shapovalov,LAY,1.47,2,0.94,BET_PLACED,"Strategy 1a: set 1 complete 7-6 (fav @ 2.04 pre-match), back playerA @ 1.47",2026-04-16T15:19:45.847Z,,,true,2,-0.94
DRY-1776352785846-2730,1.256856054,Denis Shapovalov v Fabian Marozsan,Denis Shapovalov,LAY,1.47,2,0.94,DRY_LOSS,Match finished — lost,2026-04-16T15:19:45.847Z,2026-04-16T15:34:50.944Z,-0.94,true,2,-0.94
DRY-1776365959115-8672,1.256837405,Oliver Crawford v Jack Kennedy,Oliver Crawford,BACK,1.82,2,2,BET_PLACED,"Strategy 2a: set 1 complete 6-7 (fav @ 1.45 pre-match), back playerA @ 1.82",2026-04-16T18:59:19.116Z,,,true,1.64,-2
DRY-1776365959115-8672,1.256837405,Oliver Crawford v Jack Kennedy,Oliver Crawford,BACK,1.82,2,2,TRADE_OUT,Set 2 result hedge,2026-04-16T18:59:19.116Z,2026-04-16T19:54:34.513Z,0.1,true,1.64,-2
DRY-1776442882481-9707,1.256910436,Denis Shapovalov v Alex Molcan,Alex Molcan,LAY,1.38,2,0.76,BET_PLACED,"Strategy 3a: set 1 complete 4-6 (fav @ 1.79 pre-match), back playerB @ 1.38",2026-04-17T16:21:22.481Z,,,true,2,-0.76
DRY-1776442882481-9707,1.256910436,Denis Shapovalov v Alex Molcan,Alex Molcan,LAY,1.38,2,0.76,DRY_LOSS,Match finished — lost,2026-04-17T16:21:22.481Z,2026-04-17T16:49:07.630Z,-0.76,true,2,-0.76
DRY-1776445032686-4671,1.256910436,Denis Shapovalov v Alex Molcan,Denis Shapovalov,BACK,1.5,2,2,BET_PLACED,"Strategy 2a: set 1 complete 4-6 (fav @ 1.79 pre-match), back playerA @ 1.5",2026-04-17T16:57:12.686Z,,,true,1,-2
DRY-1776445032686-4671,1.256910436,Denis Shapovalov v Alex Molcan,Denis Shapovalov,BACK,1.5,2,2,DRY_LOSS,Match finished — lost,2026-04-17T16:57:12.686Z,2026-04-17T16:57:17.679Z,-2,true,1,-2
DRY-1776710201806-3633,1.257053413,Nicolai Budkov Kjaer v Francesco Maestrelli,Nicolai Budkov Kjaer,LAY,1.24,2,0.48,BET_PLACED,"Strategy 1a: set 1 complete 6-4 (fav @ 4.30 pre-match), back playerA @ 1.24",2026-04-20T18:36:41.806Z,,,true,2,-0.48
DRY-1776710201806-3633,1.257053413,Nicolai Budkov Kjaer v Francesco Maestrelli,Nicolai Budkov Kjaer,LAY,1.24,2,0.48,DRY_LOSS,Match finished — lost,2026-04-20T18:36:41.806Z,2026-04-20T19:06:56.947Z,-0.48,true,2,-0.48
DRY-1776713647339-3909,1.257053787,Dino Prizmic v Christopher O'Connell,Dino Prizmic,LAY,1.31,2,0.62,BET_PLACED,"Strategy 1a: set 1 complete 7-6 (fav @ 4.10 pre-match), back playerA @ 1.31",2026-04-20T19:34:07.339Z,,,true,2,-0.62
DRY-1776873534595-5636,1.257176620,Karolina Pliskova v Sinja Kraus,Sinja Kraus,LAY,1.2,2,0.4,BET_PLACED,"Strategy 1: set 1 complete 2-6 (fav @ 2.12 pre-match), back playerB @ 1.2",2026-04-22T15:58:54.596Z,,,true,2,-0.4
DRY-1776882290497-3964,1.257101956,Rafael Jodar v Jesper De Jong,Rafael Jodar,BACK,2.06,2,2,BET_PLACED,"Strategy 2: set 1 complete 2-6 (fav @ 1.28 pre-match), back playerA @ 2.06",2026-04-22T18:24:50.497Z,,,true,2.12,-2
DRY-1776882290497-3964,1.257101956,Rafael Jodar v Jesper De Jong,Rafael Jodar,BACK,2.06,2,2,TRADE_OUT,Set 2 result hedge,2026-04-22T18:24:50.497Z,2026-04-22T19:37:50.956Z,1.1,true,2.12,-2
DRY-1777061410986-2234,1.257202088,Thiago Agustin Tirante v Tommy Paul,Tommy Paul,BACK,2.32,2,2,BET_PLACED,"Strategy 2: set 1 complete 7-5 (fav @ 1.47 pre-match), back playerB @ 2.32",2026-04-24T20:10:10.987Z,,,true,2.64,-2
DRY-1777061410986-2234,1.257202088,Thiago Agustin Tirante v Tommy Paul,Tommy Paul,BACK,2.32,2,2,DRY_LOSS,Match finished — lost,2026-04-24T20:10:10.987Z,2026-04-24T20:33:16.121Z,-2,true,2.64,-2
DRY-1777197324897-4582,1.257303105,Sorana Cirstea  v Coco Gauff,Coco Gauff,BACK,1.61,2,2,BET_PLACED,"Strategy 2: set 1 complete 6-4 (fav @ 1.24 pre-match), back playerB @ 1.61",2026-04-26T09:55:24.897Z,,,true,1.22,-2
DRY-1777197324897-4582,1.257303105,Sorana Cirstea  v Coco Gauff,Coco Gauff,BACK,1.61,2,2,TRADE_OUT,Set 2 result hedge,2026-04-26T09:55:24.897Z,2026-04-26T10:46:25.231Z,0,true,1.22,-2
DRY-1777200390225-341,1.257303105,Sorana Cirstea  v Coco Gauff,Coco Gauff,BACK,1.61,2,2,BET_PLACED,"Strategy 4: set 1 complete 6-4 (fav @ 1.24 pre-match), back playerB @ 1.61",2026-04-26T10:46:30.225Z,,,true,1.22,-2
DRY-1777200390225-341,1.257303105,Sorana Cirstea  v Coco Gauff,Coco Gauff,BACK,1.61,2,2,DRY_WIN,Match finished — won,2026-04-26T10:46:30.225Z,2026-04-26T11:29:55.465Z,1.22,true,1.22,-2
DRY-1777208060966-5330,1.257304925,Dino Prizmic v Tomas Martin Etcheverry,Dino Prizmic,LAY,1.28,2,0.56,BET_PLACED,"Strategy 1: set 1 complete 6-2 (fav @ 1.80 pre-match), back playerA @ 1.28",2026-04-26T12:54:20.966Z,,,true,2,-0.56
DRY-1777229158198-9789,1.257295260,Qinwen Zheng v Elena Rybakina,Elena Rybakina,BACK,1.91,2,2,BET_PLACED,"Strategy 2: set 1 complete 6-4 (fav @ 1.28 pre-match), back playerB @ 1.91",2026-04-26T18:45:58.198Z,,,true,1.82,-2
DRY-1777229158198-9789,1.257295260,Qinwen Zheng v Elena Rybakina,Elena Rybakina,BACK,1.91,2,2,TRADE_OUT,Set 2 result hedge,2026-04-26T18:45:58.198Z,2026-04-26T19:37:28.503Z,0.29,true,1.82,-2
DRY-1777232253509-5709,1.257295260,Qinwen Zheng v Elena Rybakina,Elena Rybakina,BACK,1.67,2,2,BET_PLACED,"Strategy 4: set 1 complete 6-4 (fav @ 1.28 pre-match), back playerB @ 1.67",2026-04-26T19:37:33.509Z,,,true,1.34,-2
DRY-1777232253509-5709,1.257295260,Qinwen Zheng v Elena Rybakina,Elena Rybakina,BACK,1.67,2,2,DRY_WIN,Match finished — won,2026-04-26T19:37:33.509Z,2026-04-26T20:23:18.789Z,1.34,true,1.34,-2
DRY-1777243134620-6758,1.257311466,Joao Fonseca v Rafael Jodar,Rafael Jodar,LAY,1.3,2,0.6,BET_PLACED,"Strategy 1: set 1 complete 6-7 (fav @ 2.20 pre-match), back playerB @ 1.3",2026-04-26T22:38:54.620Z,,,true,2,-0.6
DRY-1777243134620-6758,1.257311466,Joao Fonseca v Rafael Jodar,Rafael Jodar,LAY,1.3,2,0.6,DRY_LOSS,Match finished — lost,2026-04-26T22:38:54.620Z,2026-04-26T22:46:54.630Z,-0.6,true,2,-0.6
DRY-1777324483238-5115,1.257424140,Anastasia Potapova v Elena Rybakina,Elena Rybakina,BACK,1.74,2,2,BET_PLACED,"Strategy 2: set 1 complete 7-6 (fav @ 1.27 pre-match), back playerB @ 1.74",2026-04-27T21:14:43.238Z,,,true,1.48,-2
DRY-1777383074324-1729,1.257458337,Stefanos Tsitsipas v Casper Ruud,Casper Ruud,BACK,1.68,2,2,BET_PLACED,"Strategy 2: set 1 complete 7-6 (fav @ 1.41 pre-match), back playerB @ 1.68",2026-04-28T13:31:14.325Z,,,true,1.36,-2
DRY-1777730511129-5075,1.257639049,Francesca Jones v Mia Pohankova,Mia Pohankova,BACK,2,2,2,BET_PLACED,"Strategy 2: set 1 complete 6-1 (fav @ 1.28 pre-match), back playerB @ 2",2026-05-02T14:01:51.130Z,,,true,2,-2
DRY-1777736767595-4028,1.257637283,Hubert Hurkacz v Roman Andres Burruchaga,Hubert Hurkacz,BACK,1.66,2,2,BET_PLACED,"Strategy 2: set 1 complete 4-6 (fav @ 1.66 pre-match), back playerA @ 1.66",2026-05-02T15:46:07.596Z,,,true,1.32,-2
